0;0;0;0;land;false;unknown;0
1;200;191;111;land;false;forest;1
2;132;235;169;land;false;forest;1
3;156;226;123;land;false;forest;1
4;128;196;213;land;false;forest;1
5;125;233;234;land;false;forest;1
6;170;140;229;land;false;forest;1
7;238;211;91;land;false;forest;1
8;213;210;156;land;false;forest;1
9;242;197;164;land;false;forest;1
10;234;229;253;land;true;forest;1
11;246;198;58;land;false;forest;1
12;177;157;243;land;false;forest;1
13;230;206;119;land;false;forest;1
14;218;209;152;land;false;forest;1
15;162;250;159;land;true;forest;1
16;188;245;162;land;true;forest;1
17;247;226;62;land;false;forest;1
18;246;84;243;land;false;forest;1
19;213;234;147;land;false;forest;1
20;203;243;177;land;false;forest;1
21;119;233;168;land;false;forest;1
22;208;231;147;land;false;forest;1
23;144;221;235;land;false;forest;1
24;236;233;141;land;false;forest;1
25;208;147;155;land;false;forest;1
26;219;190;192;land;false;forest;1
27;181;111;235;land;false;forest;1
28;120;197;227;land;false;forest;1
29;135;238;237;land;false;forest;1
30;163;250;92;land;false;forest;1
31;250;227;190;land;false;forest;1
32;232;121;248;land;false;forest;1
33;193;180;167;land;false;forest;1
34;149;180;236;land;false;forest;1
35;176;182;191;land;false;forest;1
36;219;124;223;land;false;forest;1
37;125;233;175;land;false;forest;1
38;184;196;150;land;true;forest;1
39;197;179;199;land;false;forest;1
40;222;249;234;land;false;forest;1
41;223;54;246;land;false;forest;1
42;236;250;108;land;false;forest;1
43;226;129;222;land;false;forest;1
44;227;67;233;land;true;forest;1
45;124;184;225;land;false;forest;1
46;220;166;157;land;true;forest;1
47;215;142;202;land;true;forest;1
48;219;140;254;land;false;forest;1
49;250;206;125;land;false;forest;1
50;247;238;174;land;false;forest;1
51;201;65;252;land;false;forest;1
52;154;150;251;land;false;forest;1
53;112;214;233;land;false;forest;1
54;243;76;202;land;false;forest;1
55;234;140;137;land;false;forest;1
56;150;216;233;land;false;forest;1
57;199;123;224;land;false;forest;1
58;208;129;247;land;false;forest;1
59;210;220;160;land;false;forest;1
60;184;244;89;land;false;forest;1
61;249;237;71;land;true;forest;1
62;123;222;169;land;false;forest;1
63;229;233;180;land;true;forest;1
64;155;202;182;land;true;forest;1
65;159;215;152;land;false;forest;1
66;245;34;234;land;false;forest;1
67;241;122;243;land;false;forest;1
68;210;222;153;land;false;forest;1
69;238;198;75;land;false;forest;1
70;245;75;201;land;false;forest;1
71;220;245;229;land;false;forest;1
72;161;147;194;land;false;forest;1
73;238;239;187;land;true;forest;1
74;148;168;237;land;false;forest;1
75;182;168;239;land;false;forest;1
76;243;248;214;land;false;forest;1
77;187;251;68;land;false;forest;1
78;229;168;194;land;true;forest;1
79;115;225;226;land;false;forest;1
80;235;55;223;land;false;forest;1
81;131;246;194;land;false;forest;1
82;185;167;230;land;false;forest;1
83;208;194;124;land;true;forest;1
84;68;254;252;land;false;forest;1
85;201;122;237;land;false;forest;1
86;170;157;234;land;true;forest;1
87;234;146;228;land;false;forest;1
88;179;192;139;land;false;forest;1
89;244;190;220;land;false;forest;1
90;220;218;131;land;false;forest;1
91;251;236;118;land;false;forest;1
92;74;245;182;land;false;forest;1
93;246;138;190;land;false;forest;1
94;222;201;99;land;true;forest;1
95;205;219;160;land;false;forest;1
96;247;150;234;land;true;forest;1
97;248;209;52;land;false;forest;1
98;164;227;231;land;false;forest;1
99;177;184;247;land;false;forest;1
100;214;228;141;land;false;forest;1
101;253;242;158;land;false;forest;1
102;103;252;253;land;false;forest;1
103;125;155;242;land;true;forest;1
104;134;249;172;land;false;forest;1
105;236;141;205;land;false;forest;1
106;128;221;224;land;true;forest;1
107;115;191;231;land;false;forest;1
108;226;113;167;land;false;forest;1
109;167;178;196;land;false;forest;1
110;253;43;212;land;false;forest;1
111;211;119;248;land;false;forest;1
112;173;177;253;land;false;forest;1
113;214;216;137;land;false;forest;1
114;214;191;238;land;false;forest;1
115;223;235;238;land;true;forest;1
116;244;211;160;land;false;forest;1
117;224;168;239;land;false;forest;1
118;179;70;252;land;false;forest;1
119;229;100;227;land;false;forest;1
120;211;221;85;land;false;forest;1
121;178;219;201;land;false;forest;1
122;219;114;242;land;false;forest;1
123;252;170;89;land;false;forest;1
124;84;240;240;land;false;forest;1
125;157;221;127;land;true;forest;1
126;232;161;244;land;true;forest;1
127;229;231;63;land;false;forest;1
128;177;161;206;land;false;forest;1
129;108;210;224;land;false;forest;1
130;139;191;214;land;false;forest;1
131;214;199;103;land;false;forest;1
132;239;180;133;land;false;forest;1
133;230;254;210;land;false;forest;1
134;236;254;11;land;false;forest;1
135;156;150;244;land;false;forest;1
136;246;228;220;land;false;forest;1
137;229;200;171;land;false;forest;1
138;139;176;217;land;false;forest;1
139;244;124;211;land;false;forest;1
140;201;175;251;land;false;forest;1
141;94;241;240;land;false;forest;1
142;152;176;207;land;false;forest;1
143;216;151;209;land;false;forest;1
144;209;171;208;land;true;forest;1
145;113;243;176;land;false;forest;1
146;129;152;225;land;false;forest;1
147;182;162;174;land;false;forest;1
148;110;227;244;land;false;forest;1
149;252;166;173;land;false;forest;1
150;212;194;152;land;true;forest;1
151;159;178;224;land;false;forest;1
152;198;173;164;land;false;forest;1
153;89;202;234;land;false;forest;1
154;208;227;210;land;false;forest;1
155;153;174;215;land;false;forest;1
156;225;98;198;land;true;forest;1
157;242;215;241;land;false;forest;1
158;71;222;219;land;false;forest;1
159;128;196;226;land;false;forest;1
160;193;136;185;land;false;forest;1
161;125;205;252;land;false;forest;1
162;190;248;202;land;false;forest;1
163;253;101;170;land;false;forest;1
164;226;65;215;land;false;forest;1
165;223;163;191;land;false;forest;1
166;209;253;88;land;false;forest;1
167;143;234;229;land;false;forest;1
168;250;158;232;land;true;forest;1
169;195;204;121;land;false;forest;1
170;70;249;208;land;false;forest;1
171;191;201;251;land;false;forest;1
172;208;181;113;land;true;forest;1
173;216;237;54;land;false;forest;1
174;171;252;194;land;false;forest;1
175;211;78;246;land;false;forest;1
176;114;189;252;land;false;forest;1
177;135;201;184;land;false;forest;1
178;181;185;173;land;false;forest;1
179;84;217;243;land;true;forest;1
180;253;109;150;land;false;forest;1
181;152;203;233;land;false;forest;1
182;202;245;116;land;false;forest;1
183;246;198;99;land;false;forest;1
184;143;210;229;land;false;forest;1
185;209;233;224;land;false;forest;1
186;220;189;159;land;false;forest;1
187;190;108;203;land;false;forest;1
188;15;249;246;land;false;forest;1
189;204;213;185;land;false;forest;1
190;95;227;240;land;true;forest;1
191;254;244;8;land;true;forest;1
